occupationLabel,field_of_workLabel,organizationLabel,awardLabel,doc_advisorLabel,doc_studentLabel,doc_thesisLabel,studentLabel,student_ofLabel,notable_workLabel,website,dblp_id,academic_treeid,acm_id,employeeLabel,start_time_emp,end_time_emp,educationLabel,degreeLabel,start_time_edu,end_time_edu
computer scientist,computer science,Royal Society,Smith's Prize,Alonzo Church,Robin Gandy,Systems of Logic Based on Ordinals,Robin Gandy,Alonzo Church,Turing machine,http://www.turingarchive.org/,t/AlanMTuring,91808,81100339134,University of Manchester,1948-03-01T00:00:00Z,,University of Cambridge,,,
computer scientist,computer science,Royal Society,Smith's Prize,Alonzo Church,Robin Gandy,Systems of Logic Based on Ordinals,Robin Gandy,Alonzo Church,Turing machine,http://www.turingarchive.org/,t/AlanMTuring,91808,81100339134,University of Manchester,1948-03-01T00:00:00Z,,Princeton University,,,
computer scientist,logic,Royal Society,Officer of the Order of the British Empire,Alonzo Church,Robin Gandy,Systems of Logic Based on Ordinals,Robin Gandy,Alonzo Church,Turing machine,http://www.turingarchive.org/,t/AlanMTuring,91808,81100339134,University of Manchester,1948-03-01T00:00:00Z,,Sherborne School,,1926-01-01T00:00:00Z,
computer scientist,computer science,Royal Society,Fellow of the Royal Society,Alonzo Church,Robin Gandy,Systems of Logic Based on Ordinals,Robin Gandy,Alonzo Church,Turing machine,http://www.turingarchive.org/,t/AlanMTuring,91808,81100339134,University of Manchester,1948-03-01T00:00:00Z,,King's College,,1931-01-01T00:00:00Z,1934-01-01T00:00:00Z
cryptographer,cryptanalysis,Royal Society,Fellow of the Royal Society,Alonzo Church,Robin Gandy,Systems of Logic Based on Ordinals,Robin Gandy,Alonzo Church,Turing machine,http://www.turingarchive.org/,t/AlanMTuring,91808,81100339134,University of Manchester,1948-03-01T00:00:00Z,,University of Cambridge,,,
cryptographer,mathematics,Royal Society,Officer of the Order of the British Empire,Alonzo Church,Robin Gandy,Systems of Logic Based on Ordinals,Robin Gandy,Alonzo Church,Turing machine,http://www.turingarchive.org/,t/AlanMTuring,91808,81100339134,University of Manchester,1948-03-01T00:00:00Z,,King's College,,1931-01-01T00:00:00Z,1934-01-01T00:00:00Z
cryptographer,cryptanalysis,Royal Society,Fellow of the Royal Society,Alonzo Church,Robin Gandy,Systems of Logic Based on Ordinals,Robin Gandy,Alonzo Church,Turing machine,http://www.turingarchive.org/,t/AlanMTuring,91808,81100339134,University of Manchester,1948-03-01T00:00:00Z,,Princeton University,,,
computer scientist,cryptanalysis,Royal Society,Smith's Prize,Alonzo Church,Robin Gandy,Systems of Logic Based on Ordinals,Robin Gandy,Alonzo Church,Turing machine,http://www.turingarchive.org/,t/AlanMTuring,91808,81100339134,University of Manchester,1948-03-01T00:00:00Z,,Sherborne School,,1926-01-01T00:00:00Z,
cryptographer,mathematics,Royal Society,Fellow of the Royal Society,Alonzo Church,Robin Gandy,Systems of Logic Based on Ordinals,Robin Gandy,Alonzo Church,Turing machine,http://www.turingarchive.org/,t/AlanMTuring,91808,81100339134,University of Manchester,1948-03-01T00:00:00Z,,University of Cambridge,,,
cryptographer,logic,Royal Society,Officer of the Order of the British Empire,Alonzo Church,Robin Gandy,Systems of Logic Based on Ordinals,Robin Gandy,Alonzo Church,Turing machine,http://www.turingarchive.org/,t/AlanMTuring,91808,81100339134,University of Manchester,1948-03-01T00:00:00Z,,Sherborne School,,1926-01-01T00:00:00Z,
