Name	Thesis Title	Year	Currently at	guide	subject	inst	key	student
Neetu Jindal	Reusing Design-For-Debug Hardware To Enhance Performance	2019-01-01	Intel India at Bangalore					
Neha Sengupta	Algorithms For Massive And Dynamic Graph Data Management	2019-01-01	Research Associate at Inception Institute of Artificial Intelligence, Abu Dhabi UAE					
Suvam Patra	Robust Scene Geometry Recovery From Ego-Cameras For Visual Navigation	2019-01-01	Research Engineer at Scape Technologies					
Ankit Anand	Symmetry Aware Inference And Decision Making In Probabilistic Models	2019-01-01	Research Scientist at Google DeepMind Montreal					
Jatin Batra	Dynamic Programming For Scheduling Problems	2019-01-01	Post Doc at CWI, Amsterdam	Garg, Naveen|Kumar, Amit	Computer programming	IIT Delhi	Computer programming; Thesis	Batra, Jatin
Prathmesh Shashikant	Architectural Support For Enhanced Performance Of Os Intensive Applications	2018-01-01	CPU Research Scientist in the Microarchitecture Research Lab at Intel Labs, India	Sarangi, Smruti Ranjan	Web servers|Database servers		Web servers; Database servers; Thesis	Kallurkar, Prathmesh
Manjeet Dahiya	Black-Box Equivalence Checking Across Compiler Transformations	2018-01-01	Sr. Data Scientist at Delhivery	Bansal, Sorav	Black-box equivalance checking- Building		Black-box equivalance checking- Building; Thesis	Dahiya, Manjeet
Anup Kumar Bhattacharya	Sampling-Based Algorithms For Clustering Problems	2018-01-01	Postdoctoral researcher at Indian Statistical Institute, Kolkata	Jaiswal, Ragesh	Algorithms		Algorithms; Thesis	Bhattacharya, Anup Kumar
Brojeshwar Bhowmick	A Pipe-Line For Large Scale Structure-From-Motion	2018-01-01	TCS Research					
C. Sandeep	Flexdfd: Flexible DFD Hardware For Efficient Post-Silicon Validation	2017-01-01	Assistant Professor, IIT Palakkad	Panda, Preeti Ranjan|Sarangi, Smruti R.	Post-silicon		Post-silicon; Thesis	Sandeep, C
Rahul Jain	Machine Learned Machines: Reinforcement Learning Exploration For Architecture Co-Optimization	2017-01-01	Principal Research Engineer at rENIAC	Panda, Preeti Rajan	Modern multi-core systems		Modern multi-core systems; Thesis	Jain, Rahul
Sonia Khetarpaul	Analyzing Moving Objects Data In Spatio-Temporal Space And Social Networks	2017-01-01	Assistant Professor, Shiv Nadar University					
Parul Shukla	Human Action Recognition From Depth Maps And Skeleton	2017-01-01		Biswas, K K|Kalra, Prem K	Digital cameras		Digital cameras; Thesis	Shukla, Parul
Rajshekar K.	Employing Redundancy Based Techniques To Provide Reliability, Security And Accountability In Modern Processors	2017-01-01	Assistant Professor at the Indian Institute of Technology Dharwad, Karnataka					
Chinmay Narayan	Model Specific Verification Of Safety Properties In Concurrent Programs	2017-01-01		Arun-Kumar, S.	Memory model		Memory model; Thesis	Narayan, Chinmay
Mona Gupta (Jain)	Analytics On Behavior Of Users On Large Data Sets	2017-01-01						
Eldhose Peter	Power Efficient On-Chip Optical Interconnects	2017-01-01	Senior Architect at NVIDIA GeForce India	Sarangi, Smruti Ranjan	Optical interconnects|Optical networks	IIT Delhi	Optical interconnects; Optical networks; Thesis	Peter, Eldhose
Shibhashis Guha	Bisimulations And Prebisimulations For Timed Automata	2016-01-01	postdoc at the Verification Group in Université libre de Bruxelles	Kumar, S. Arun	Real time systems		Real time systems; Thesis	Guha, Shibashis
Nisha Jain	Realistic Simulation And Rendering Of Corroded Objects	2016-01-01	Research Fellow, Nanyang Technological University, Singapore	Kalra, Prem|Kumar, Subodh	Corroded objects		Corroded objects; Thesis	Jain, Nisha
Swati Sharma	Empirical Validation Of Stochastic Approaches To Device And Network State Identification	2016-01-01	Post-doc, University of Grenoble Alpes, France					
Yamuna Prasad	Feature Selection in High Dimensions with application in Bio-Informatics	2016-01-01		Biswas, K.K.|Hanmandlu, M.	Bioinformatics	IIT Delhi	Bioinformatics; Thesis	Prasad, Yamuna
Tarun Beri	Unicorn: A bulk synchronous programming model, framework and runtime for hybrid CPU-GPU clusters		Adobe Systems, Noida (Sr. Computer Scientist II)	Kumar, Subodh|Bansal, Sorav	Graphics		Graphics; Thesis	Beri, Tarun
