"No cover image available  Expert system for network topology determination of power systems (R) by Vidya Sagar, V.S.K.E | Khaparde, S.A. and Biswas, S.Edition: Publisher: Bombay ; IIT ; 1988Online access: Click here to access online Availability: Items available for reference: [Call number: 043:621.316.2:681.342Vid] (1). Add to cart"
"No cover image available  Theme based planning in an uncertain environment (R) by Khemani, Deepak | Ramakrishna, R.S.Edition: Publisher: Bombay ; IIT ; 1988Online access: Click here to access online Availability: Items available for reference: [Call number: 043:681.342:159.954Khe] (1). Add to cart"
"No cover image available  Software development for discrete time nonlinear control systems (R) by Behera, Srinibas | Srisailam, M.C.Edition: Bombay : I Publisher: Bombay ; IIT ; 1989Online access: Click here to access online Availability: Items available for reference: [Call number: 043:621-526:681.3.06Beh] (1). Add to cart"
"No cover image available  Sequential decision making in farm level water management (R) by Maadelat, M | Murthy, J.S.R.Edition: Publisher: Bombay ; IIT ; 1989Online access: Click here to access online Availability: Items available for reference: [Call number: 043:626.81:519.3Maa] (1). Add to cart"
"No cover image available  Analysis and design of vector quantizers (R) by Joshi, Rajan Laxman | Poonacha, P.G.Edition: Bombay : I Publisher: Bombay ; IIT ; 1990Online access: Click here to access online Availability: Items available for reference: [Call number: 043:621.391.8:512.8Jos] (1). Add to cart"
"No cover image available  Development and evaluation of expert system for scheduling (R) by Upadhye, S.A | Subash Babu, A.Edition: Bombay : I Publisher: Bombay ; IIT ; 1990Online access: Click here to access online Availability: Items available for reference: [Call number: 043:658.513:681.342Upa] (1). Add to cart"
"No cover image available  Steady state security evaluation of power system using neural net (R) by Nandapurkar, U.P | Khaparde, S.A.Edition: Bombay, II Publisher: Bombay ; IIT ; 1990Online access: Click here to access online Availability: Items available for reference: [Call number: 043:621.31:65.012.8:681.342Nan] (1). Add to cart"
"No cover image available  Knowledge-based expert systems for thermodynamic choices in chemical plant simulation (R) by Paranjape, Prakash K | Kudchadkar, A.P.Edition: Bomaby : C Publisher: Bombay ; IIT ; 1989Online access: Click here to access online Availability: Items available for reference: [Call number: 043:66.01:681.342Par] (1). Add to cart"
"No cover image available  Rule based expert system for image classification (R) by Borwankar, Mohan V | Sahasrabudhe, S.C. and Shevgaonkar, R.K.Edition: Publisher: Bombay ; IIT ; 1991Online access: Click here to access online Availability: Items available for reference: [Call number: 043:621.385.832:681.342Bor] (1). Add to cart"
"No cover image available  Algorithms for training artificial neural networks (R) by Krishna Ramesh, V.N.V | Poonacha, P.G.Edition: Bombay : I Publisher: Bombay ; IIT ; 1990Online access: Click here to access online Availability: Items available for reference: [Call number: 043:681.342:612.8Nen] (2). Add to cart"
"No cover image available  Development of an expert diagnostic system (R) by Venketa, Narayana V | Verma, A.K.Edition: Bombay : I Publisher: Bombay ; IIT ; 1990Online access: Click here to access online Availability: Items available for reference: [Call number: 043:658.562:681.342Ven] (1). Add to cart"
"No cover image available  Extrun : an expert system for process planning of turned components (R) by Desai, Vidyadhar S | Pande, S.S. and Somasundaram, S.Edition: Publisher: Bombay ; IIT ; 1991Online access: Click here to access online Availability: Items available for reference: [Call number: 043:621.94:658.513:681.342Des] (1). Add to cart"
"No cover image available  Knowledge based system for productivity management (R) by Janakiram, Nanduri | Arunkumar, S.Edition: Publisher: Bombay ; IIT ; 1989Online access: Click here to access online Availability: Items available for reference: [Call number: 043:658.5:681.342Jan] (1). Add to cart"
"No cover image available  Expert system controller for HVDC system (R) by Patra, Pradeep Kumar | Banerjee, S.K.Edition: Publisher: Bombay ; IIT ; 1992Online access: Click here to access online Availability: Items available for reference: [Call number: 043:621.316.9:681.342Pat] (1). Add to cart"
"No cover image available  Functional framework : towards unification of the product cycle in mechanical engineering (R) by Rane, Prerana | Isaac, J.R.Edition: Publisher: Bombay ; IIT ; 1991Online access: Click here to access online Availability: Items available for reference: [Call number: 043:681.342:658.5Ran] (1). Add to cart"
"No cover image available  Development of fault simulator for an on-line condition monitoring system (R) by Gurumurthy, T | Khemchandani, M.V. and Verma, A.K.Edition: Publisher: Bombay ; IIT ; 1991Online access: Click here to access online Availability: Items available for reference: [Call number: 043:658.562:621:681.342Gur] (1). Add to cart"
"No cover image available  Troubleshooting analysis of control valve assembly (R) by Joby, George | Ramaswamy, N.Edition: Publisher: Bombay ; IIT ; 1993Online access: Click here to access online Availability: Items available for reference: [Call number: 043:621-522:621.646.3Job] (1). Add to cart"
